PhraseID,current_phrase,current_audio_key,matched_audio_file,match_type
826,Ni penos fari lian portreton laŭ priskribo,0671_ni_penos_fari_lian_portreton_laux_priskribo,0671_ni_penos_fari_lian_fotoroboton.wav,prefix
1301,Fraŭlino Wayne baldaŭ fariĝos sinjorino Jones,1146_frauxlino_wayne_baldaux_farigxos_sinjorino_jones,1146_frauxlino_wane_baldaux_farigxos_sinjorino_jones.wav,prefix
2923,Ĉu vi povas rekomendi picejon?,2768_cxu_vi_povas_rekomendi_picejon,2768_cxu_vi_povas_rekomendi_picerion.wav,prefix
3232,Mi ŝatus la kradrostitan salmon,3077_mi_sxatus_la_kradrostitan_salmon,3077_mi_sxatus_la_grilitan_salmon.wav,prefix
3248,Li havos kradrostitan karpon,3093_li_havos_kradrostitan_karpon,3093_li_havos_grilitan_karpon.wav,prefix
3526,Ĉu estas atestilo por ĝi?,3371_cxu_estas_atestilo_por_gxi,3371_cxu_estas_certifikato_por_gxi.wav,prefix
3682,Mi ŝatus ses ovojn,3527_mi_sxatus_ses_ovojn,3527_mi_sxatus_duonduzenon_da_ovoj.wav,prefix
4802,Kiun poŝtelefonan reton vi havas?,4647_kiun_posxtelefonan_reton_vi_havas,4647_kiun_mobilan_reton_vi_havas.wav,prefix
