kind,id,key,text,status,existing_size,generated_size
vocab,digno,digno,digno,ok,37484,37484
vocab,dika,dika,dika,ok,33404,33404
vocab,dikti,dikti,dikti,ok,40364,40364
vocab,diligenta,diligenta,diligenta,ok,57884,57884
vocab,dimancxo,dimancxo,dimanĉo,ok,51644,51644
vocab,dimensio,dimensio,dimensio,ok,58364,58364
vocab,dinamito,dinamito,dinamito,ok,53324,53324
vocab,dio,dio,dio,ok,31004,31004
vocab,dio_dio,dio_dio,"dio,Dio",ok,49484,49484
vocab,diplomato,diplomato,diplomato,ok,60524,60524
vocab,diplomo,diplomo,diplomo,ok,48044,48044
vocab,direkto,direkto,direkto,ok,46124,46124
vocab,direktoro,direktoro,direktoro,ok,54284,54284
vocab,diri,diri,diri,ok,33644,33644
vocab,dis,dis,dis-,ok,33164,33164
vocab,disko,disko,disko,ok,42044,42044
vocab,diskriminacio,diskriminacio,diskriminacio,ok,81164,81164
vocab,diskuti,diskuti,diskuti,ok,54044,54044
vocab,disponi,disponi,disponi,ok,54524,54524
vocab,disputi,disputi,disputi,ok,52604,52604
vocab,distanco,distanco,distanco,ok,56924,56924
vocab,distingi,distingi,distingi,ok,54044,54044
vocab,distri,distri,distri,ok,44684,44684
vocab,distribui,distribui,distribui,ok,62444,62444
vocab,distrikto,distrikto,distrikto,ok,57404,57404
vocab,diveni,diveni,diveni,ok,47084,47084
vocab,diversa,diversa,diversa,ok,49484,49484
vocab,dividi,dividi,dividi,ok,46124,46124
vocab,do,do,do,ok,22124,22124
vocab,dogano,dogano,dogano,ok,44204,44204
vocab,doktoro,doktoro,doktoro,ok,48284,48284
vocab,dokumento,dokumento,dokumento,ok,59804,59804
vocab,dolcxa,dolcxa,dolĉa,ok,41564,41564
vocab,doloro,doloro,doloro,ok,41804,41804
vocab,domagxi,domagxi,domaĝi,ok,44924,44924
vocab,domagxo,domagxo,domaĝo,ok,46364,46364
vocab,domo,domo,domo,ok,34844,34844
vocab,donaco,donaco,donaco,ok,50204,50204
vocab,doni,doni,doni,ok,37484,37484
vocab,dorloti,dorloti,dorloti,ok,49964,49964
vocab,dormi,dormi,dormi,ok,37964,37964
vocab,dorno,dorno,dorno,ok,35324,35324
vocab,dorso,dorso,dorso,ok,41804,41804
vocab,dosiero,dosiero,dosiero,ok,52844,52844
vocab,doto,doto,doto,ok,37004,37004
vocab,dramo,dramo,dramo,ok,38444,38444
vocab,drapo,drapo,drapo,ok,39644,39644
vocab,drato,drato,drato,ok,40604,40604
vocab,dresi,dresi,dresi,ok,41804,41804
vocab,drinki,drinki,drinki,ok,45404,45404
vocab,droni,droni,droni,ok,40364,40364
vocab,du,du,du,ok,24044,24044
vocab,dubi,dubi,dubi,ok,33644,33644
vocab,dum,dum,dum,ok,30044,30044
vocab,dungi,dungi,dungi,ok,38684,38684
vocab,dusxo,dusxo,duŝo,ok,35804,35804
vocab,e,e,-e,ok,17324,17324
vocab,ebena,ebena,ebena,ok,42284,42284
vocab,ebl,ebl,-ebl-,ok,25964,25964
vocab,ebla,ebla,-ebla,ok,32924,32924
vocab,ebria,ebria,ebria,ok,41564,41564
vocab,ec,ec,-ec-,ok,27404,27404
vocab,eco,eco,-eco,ok,34364,34364
vocab,ecx,ecx,eĉ,ok,26684,26684
vocab,eduki,eduki,eduki,ok,43004,43004
vocab,edzo,edzo,edzo,ok,35084,35084
vocab,efektiva,efektiva,efektiva,ok,55724,55724
vocab,efekto,efekto,efekto,ok,48284,48284
vocab,efiki,efiki,efiki,ok,46844,46844
vocab,eg,eg,-eg-,ok,23084,23084
vocab,egala,egala,egala,ok,43724,43724
vocab,egoisto,egoisto,egoisto,ok,50444,50444
vocab,ehxo,ehxo,eĥo,ok,32924,32924
vocab,ej,ej,-ej-,ok,25964,25964
vocab,ejo,ejo,-ejo,ok,33404,33404
vocab,ek,ek,ek-,ok,24764,24764
vocab,ekipi,ekipi,ekipi,ok,41804,41804
vocab,eklezio,eklezio,eklezio,ok,55004,55004
vocab,ekologio,ekologio,ekologio,ok,58124,58124
vocab,ekonomiko,ekonomiko,ekonomiko,ok,58364,58364
vocab,ekonomio,ekonomio,ekonomio,ok,58124,58124
vocab,ekrano,ekrano,ekrano,ok,41804,41804
vocab,eks,eks,eks-,ok,33404,33404
vocab,eksciti,eksciti,eksciti,ok,54044,54044
vocab,ekskluziva,ekskluziva,ekskluziva,ok,67964,67964
vocab,ekskursi,ekskursi,ekskursi,ok,59804,59804
vocab,ekspedi,ekspedi,ekspedi,ok,51644,51644
vocab,eksperimento,eksperimento,eksperimento,ok,76124,76124
vocab,eksplodi,eksplodi,eksplodi,ok,54044,54044
vocab,ekspluati,ekspluati,ekspluati,ok,61724,61724
vocab,eksporti,eksporti,eksporti,ok,55964,55964
vocab,ekspozicio,ekspozicio,ekspozicio,ok,71324,71324
vocab,ekspreso,ekspreso,ekspreso,ok,53324,53324
vocab,ekster,ekster,ekster,ok,40844,40844
vocab,ekstra,ekstra,ekstra,ok,40604,40604
vocab,ekstrema,ekstrema,ekstrema,ok,50444,50444
vocab,ekvatoro,ekvatoro,ekvatoro,ok,59564,59564
vocab,ekvilibro,ekvilibro,ekvilibro,ok,57404,57404
vocab,ekzakta,ekzakta,ekzakta,ok,50684,50684
vocab,ekzameni,ekzameni,ekzameni,ok,59084,59084
vocab,ekzekuti,ekzekuti,ekzekuti,ok,56924,56924
vocab,ekzemplero,ekzemplero,ekzemplero,ok,57884,57884
vocab,ekzemplo,ekzemplo,ekzemplo,ok,51884,51884
vocab,ekzerci,ekzerci,ekzerci,ok,54524,54524
vocab,ekzisti,ekzisti,ekzisti,ok,52124,52124
vocab,el,el,el,ok,22364,22364
vocab,el_doni,el_doni,el/doni,ok,46364,46364
vocab,el_turn_igxi,el_turn_igxi,el/turn/iĝi,ok,62924,62924
vocab,elasta,elasta,elasta,ok,47564,47564
vocab,elefanto,elefanto,elefanto,ok,61004,61004
vocab,eleganta,eleganta,eleganta,ok,55484,55484
vocab,elekti,elekti,elekti,ok,46124,46124
vocab,elektro,elektro,elektro,ok,45884,45884
