PhraseID,current_phrase,current_audio_key,matched_audio_file,match_type
2271,Kie estas la pagmaŝino por parkumado?,2116_kie_estas_la_pagmasxino_por_parkumado,2116_kie_mi_pagu_por_parkumado.wav,prefix
4291,Mi bezonas formularon por elpreno de mono,4136_mi_bezonas_formularon_por_elpreno_de_mono,4136_mi_bezonas_formularon_por_monretiro.wav,prefix
4296,Ĉu mi povas elpreni monon per mia kreditkarto ĉi tie?,4141_cxu_mi_povas_elpreni_monon_per_mia_kreditkarto_cxi_tie,4141_cxu_mi_povas_retiri_monon_de_mia_kreditkarto_cxi_tie.wav,prefix
4303,"Mi ŝatus elpreni 100 pundojn, mi petas",4148_mi_sxatus_elpreni_100_pundojn_mi_petas,4148_mi_sxatus_retiri_100_pundojn_mi_petas.wav,prefix
