PhraseID,phrase,voice,output_file,matched_audio_file,status
826,Ni penos fari lian portreton laŭ priskribo,spomenka,0671_ni_penos_fari_lian_portreton_laux_priskribo.wav,0671_ni_penos_fari_lian_fotoroboton.wav,generated
1301,Fraŭlino Wayne baldaŭ fariĝos sinjorino Jones,spomenka,1146_frauxlino_wayne_baldaux_farigxos_sinjorino_jones.wav,1146_frauxlino_wane_baldaux_farigxos_sinjorino_jones.wav,generated
2923,Ĉu vi povas rekomendi picejon?,spomenka,2768_cxu_vi_povas_rekomendi_picejon.wav,2768_cxu_vi_povas_rekomendi_picerion.wav,generated
3232,Mi ŝatus la kradrostitan salmon,spomenka,3077_mi_sxatus_la_kradrostitan_salmon.wav,3077_mi_sxatus_la_grilitan_salmon.wav,generated
3248,Li havos kradrostitan karpon,spomenka,3093_li_havos_kradrostitan_karpon.wav,3093_li_havos_grilitan_karpon.wav,generated
3526,Ĉu estas atestilo por ĝi?,spomenka,3371_cxu_estas_atestilo_por_gxi.wav,3371_cxu_estas_certifikato_por_gxi.wav,generated
3682,Mi ŝatus ses ovojn,spomenka,3527_mi_sxatus_ses_ovojn.wav,3527_mi_sxatus_duonduzenon_da_ovoj.wav,generated
4802,Kiun poŝtelefonan reton vi havas?,spomenka,4647_kiun_posxtelefonan_reton_vi_havas.wav,4647_kiun_mobilan_reton_vi_havas.wav,generated
