Esperanto,Japanese_Trans,Chinese_Trans,Level_JP,Level_CN,Level_JP_Num,Level_JP_Scaled,Unified_Level
disko,"{Ｂ}円盤; 【運】円盤; 【楽】レコード盤; 【情】ディスク, （特に）ハードディスク, >>durdisko",铁饼，唱片，盘状物,C,8.0,3.0,8.79,8.4
diskuti,"{Ｂ}［自］討議する, 議論する, >>debati, >>disputi, >>polemiki",讨论,B,7.0,2.0,5.67,6.33
disponi,"{Ｂ}［他］自由に使う, 処理する; ［自］処置をとる; =dispozicii",（自主）处理、支配或决定；处置,B,9.0,2.0,5.67,7.33
disputi,"{Ｂ}［自］口論する, 言い争う, >>kvereli, >>konflikti",争论，争辩,C,8.0,3.0,8.79,8.4
distanco,"{Ｂ}距離, 間隔",距离，间隔,C,7.0,3.0,8.79,7.9
distingi,"{Ｂ}［他］見分ける, 識別する, 判別する",区别，辨别；分清；看清,B,8.0,2.0,5.67,6.83
distri,"{Ｂ}［他］気を散らす, >>malatentigi; 気晴らしをさせる, >>malstreĉi",使…分心；使消遣,C,7.0,3.0,8.79,7.9
distribui,"{Ｂ}［他］分配する, 割り当てる; 配達する, 配布する",分配，分送，分给,C,8.0,3.0,8.79,8.4
diveni,"{Ｂ}［他］見抜く, 言い当てる, 推察する, >>konjekti, >>supozi; 予知する, 占う",猜；猜测,C,7.0,3.0,8.79,7.9
diversa,"{Ｂ}いろいろな, さまざまな, 多種多様な",各种各样的,A,4.0,1.0,2.54,3.27
dividi,"{Ｂ}［他］分ける, 分割する, 区切る; 分け与える, 分配する; 分け合う; 【数】割る",分；分配；[数学]除,B,7.0,2.0,5.67,6.33
do,"{Ｂ}［接］だから, すると, それでは, そこで, >>sekve, >>tiam; ［副］（疑問文を強めて）いったい全体; （命令文を強めて）さあ, ほら / {Ｏ}［文字名］ドー（文字D，dの名称）",那么；究竟,A,1.0,1.0,2.54,1.77
dogano,"{Ｂ}関税, =limimposto, >>akcizo; 税関",关税；海关,C,9.0,3.0,8.79,8.9
doktoro,"{Ｂ}博士, >>licencio; 《般》（医師に対する呼びかけ）先生",博士；（对医师的称呼）医生，先生,B,6.0,2.0,5.67,5.83
dokumento,"{Ｂ}文書, 資料, 記録, >>arkivo",文件，公文；文献,B,9.0,2.0,5.67,7.33
doloro,"{Ｂ}痛み; 苦痛, >>sufero",疼痛，痛苦,A,4.0,1.0,2.54,3.27
dolĉa,{Ｂ}甘い; 心地好い; やさしい,甜，甜美；温柔,A,3.0,1.0,2.54,2.77
domo,"{Ｂ}家, 家屋; =hejmo; 建物, ビル; （貴族の）家系",房屋,A,3.0,1.0,2.54,2.77
donaco,"{Ｂ}贈り物; 贈与, 贈呈",礼品,B,5.0,2.0,5.67,5.33
doni,"{Ｂ}［他］与える; 渡す, もたらす; おこなう",给,A,2.0,1.0,2.54,2.27
dormi,{Ｂ}［自］眠っている; 《転》休止している,睡,A,3.0,1.0,2.54,2.77
dorno,{Ｂ}とげ（棘）; いばら（茨）,刺；[~oj]荆棘；棘,C,9.0,3.0,8.79,8.9
dorso,"{Ｂ}背, 背中; 背部; 裏, 後ろ",背，背面,B,5.0,2.0,5.67,5.33
dramo,"{Ｂ}【劇】正劇（古典的な悲劇・喜劇に分類されない近代的な市民劇）, >>tragiko, >>komedio; 《般》演劇, 戯曲, =teatraĵo; 《転》劇的事件, ドラマ",（近代）正剧；戏剧；戏剧性事件,C,8.0,3.0,8.79,8.4
drato,"{Ｂ}針金, 金属線, =metalfadeno",金属线，金属丝；铁丝,C,7.0,3.0,8.79,7.9
droni,"{Ｂ}［自］溺れる; 【海】沈没する; 《転》没する, 沈む",淹死，沉没,C,7.0,3.0,8.79,7.9
du,{Ｂ}［数詞］二,二,A,1.0,1.0,2.54,1.77
dubi,"{Ｂ}［自・他］疑う, 怪しむ; 危ぶむ, >>suspekti, ><kredi",怀疑,A,4.0,1.0,2.54,3.27
dum,"{Ｂ}［前］～の間, ～の間に / {Ｂ}［接］～する間; ～する一方では",在整个某段时间内；当…时；而,A,1.0,1.0,2.54,1.77
dungi,"{Ｂ}［他］雇う, 採用する",雇佣,C,8.0,3.0,8.79,8.4
duŝo,"{Ｂ}シャワー, 洗浄",淋浴，喷水浴,C,8.0,3.0,8.79,8.4
ebena,"{Ｂ}平らな, 平坦な, >>plata; なめらかな, >>glata",表面平整,B,6.0,2.0,5.67,5.83
ebria,{Ｂ}酔った; 《転》陶酔した,酒醉；陶醉，发疯,C,8.0,3.0,8.79,8.4
eduki,"{Ｂ}［他］（人を）教育する, しつける, >>instrui, >>prizorgi; （動物を）飼いならす, >>dresi; （植物を）育てる, 栽培する, =kultivi",教育,B,6.0,2.0,5.67,5.83
edzo,{Ｂ}夫,丈夫,A,3.0,1.0,2.54,2.77
efektiva,"{Ｂ}実際の, 現実の, >>reala, >>fakta; 事実上の",实际，确实；正式,B,5.0,2.0,5.67,5.33
efiki,"{Ｂ}［自］効果をあげる, 効能がある, 効力がある, >>influi; 【理】【化】作用する",生效，起作用,B,5.0,2.0,5.67,5.33
egala,"{Ｂ}等しい, 同等の; 対等な, 平等な; むらのない, 一様な; どうでもよい",平等，相等,B,5.0,2.0,5.67,5.33
ek-,"{Ｂ}［接頭辞］（開始・瞬間を示す）, >>ekbruli, >>ekkrii",开始或突然发生,A,1.0,1.0,2.54,1.77
ekipi,"{Ｂ}［他］装備する, 備え付ける; 【海】艤装（ぎそう）する",装备，配备，分配给,C,9.0,3.0,8.79,8.9
eklezio,"{Ｂ}【キ】（団体としての）教会, >>preĝejo, >>kirko",教会（作为整体）；教会组织，教会团体,C,9.0,3.0,8.79,8.9
ekonomio,"{Ｂ}経済; 節約, =ŝparado; =ekonomiko",经济,B,8.0,2.0,5.67,6.83
ekrano,"{Ｂ}ついたて, 遮蔽（しゃへい）物; 映写幕, スクリーン; （テレビやレーダーの）画面; 【情】表示画面",炉围，炉挡；银幕；屏,C,9.0,3.0,8.79,8.9
eks-,"{Ｂ}［接頭辞］（前・先・元を示す）, >>eksedzo, >>eksministro",［前缀］表示前、原、前任的、退职的,B,9.0,2.0,5.67,7.33
eksciti,"{Ｂ}［他］刺激する, 興奮させる; 《転》かき立てる, そそる; 【理】励起する",刺激，激发；助长,C,7.0,3.0,8.79,7.9
ekskursi,{Ｂ}［自］遠足する; （話が）脇道へそれる,远足,B,7.0,2.0,5.67,6.33
eksperimento,"{Ｂ}実験, （実地の）試み",实验,C,8.0,3.0,8.79,8.4
eksplodi,"{Ｂ}［自］爆発する, 破裂する; 《転》激高する; 《転》勃発（ぼっぱつ）する",炸裂，爆炸；爆发，突然开始,C,8.0,3.0,8.79,8.4
ekspluati,"{Ｂ}［他］開発する, うまく利用する; 搾取する; 酷使する",开发，开采；剥削，榨取,C,9.0,3.0,8.79,8.9
eksporti,"{Ｂ}［他］輸出する, ><importi",输出，出口,C,9.0,3.0,8.79,8.9
ekspozicio,"{Ｂ}展示会, 展覧会, 博覧会; 陳列, 展示, =ekspono; =ekspoziciaĵo; =ekspoziciejo",展览；展品；展览会场,C,9.0,3.0,8.79,8.9
